n_samples,n_clients,num_trees,max_depth,auc_roc,auc_pr,precision,recall,f1,threshold
5000,3,25,6,0.9995093333333334,0.989884447890832,0.9940357852882704,1.0,0.9970089730807578,0.5212377730818285
5000,3,25,8,0.999303111111111,0.9859159978578893,0.9881422924901185,1.0,0.9940357852882704,0.4506628614372873
5000,3,25,10,0.997612,0.9501813350269225,0.970873786407767,1.0,0.9852216748768473,0.4011771163878908
5000,3,50,6,0.9995662222222222,0.994354519987012,0.9940357852882704,1.0,0.9970089730807578,0.520385595212032
5000,3,50,8,0.999435111111111,0.9865645014023877,0.9920634920634921,1.0,0.9960159362549801,0.4550200158000968
5000,3,50,10,0.9988204444444444,0.9786479861833789,0.984251968503937,1.0,0.9920634920634921,0.39778876810491326
5000,3,75,6,0.9993226666666667,0.9809475042755086,0.9920634920634921,1.0,0.9960159362549801,0.5167461105402654
5000,3,75,8,0.9995826666666666,0.9895120937432051,0.9960159362549801,1.0,0.998003992015968,0.4570110791620419
5000,3,75,10,0.9987115555555556,0.9738353752971352,0.984251968503937,1.0,0.9920634920634921,0.3963951529835157
5000,5,25,6,0.9995733333333333,0.9891389681424667,0.9960159362549801,1.0,0.998003992015968,0.5057362652255095
5000,5,25,8,0.9996266666666667,0.993767695548388,0.9960159362549801,1.0,0.998003992015968,0.44804173553464705
5000,5,25,10,0.9995777777777778,0.9891740879519098,0.9960159362549801,1.0,0.998003992015968,0.3934298328267865
5000,5,50,6,0.9995715555555555,0.9883067050462011,0.9960159362549801,1.0,0.998003992015968,0.5102146820560046
5000,5,50,8,0.9995875555555556,0.990648978197559,0.9960159362549801,1.0,0.998003992015968,0.4485415564809026
5000,5,50,10,0.9990768888888889,0.9814299651416921,0.9881422924901185,1.0,0.9940357852882704,0.39159416851679507
5000,5,75,6,0.9995688888888888,0.9876008500544958,0.9960159362549801,1.0,0.998003992015968,0.510751628183042
5000,5,75,8,0.9993155555555556,0.9858846815613904,0.9920634920634921,1.0,0.9960159362549801,0.44563085607928726
5000,5,75,10,0.9985395555555555,0.969856811152358,0.984251968503937,1.0,0.9920634920634921,0.3914354407757786
10000,3,25,6,1.0,1.0,1.0,1.0,1.0,0.5209547984576095
10000,3,25,8,0.999868,0.9985003443322455,0.998003992015968,1.0,0.999000999000999,0.4595195664630006
10000,3,25,10,0.999174,0.9885801278241352,0.9871668311944719,1.0,0.9935419771485345,0.39964250640507165
10000,3,50,6,0.9999248888888889,0.9992181381070746,0.998003992015968,1.0,0.999000999000999,0.5202829603938034
10000,3,50,8,0.9996407777777778,0.9950009662038972,0.9950248756218906,1.0,0.9975062344139651,0.45582932569294543
10000,3,50,10,0.9994027777777778,0.9909207958615911,0.9881422924901185,1.0,0.9940357852882704,0.3980022794525868
10000,3,75,6,0.9998324444444444,0.9975322263681479,0.998003992015968,1.0,0.999000999000999,0.5172814269472803
10000,3,75,8,0.998881,0.9837361355228447,0.9852216748768473,1.0,0.9925558312655087,0.45205392577544057
10000,3,75,10,0.9988117777777777,0.9813917572142975,0.9852216748768473,1.0,0.9925558312655087,0.39399153117668534
10000,5,25,6,0.9987065555555555,0.9806672991693961,0.9765625,1.0,0.9881422924901185,0.5204851199801501
10000,5,25,8,0.9997406666666666,0.9949393976833332,0.9970089730807578,1.0,0.9985022466300549,0.459302400495845
10000,5,25,10,0.9976945555555556,0.952598436251093,0.975609756097561,1.0,0.9876543209876543,0.391640198639151
10000,5,50,6,0.9994711111111111,0.9890369730898952,0.9940357852882704,1.0,0.9970089730807578,0.5179116595897026
10000,5,50,8,0.9993248888888889,0.9845642476395349,0.9920634920634921,1.0,0.9960159362549801,0.45212148096057786
10000,5,50,10,0.9974905555555555,0.9481094355940155,0.9727626459143969,1.0,0.9861932938856016,0.39099256026455503
10000,5,75,6,0.9989846666666666,0.9821562502660898,0.9871668311944719,1.0,0.9935419771485345,0.5131039323535235
10000,5,75,8,0.9982378888888889,0.9649702879399106,0.9794319294809011,1.0,0.9896091044037605,0.44816661223289006
10000,5,75,10,0.9977664444444444,0.953894552823136,0.975609756097561,1.0,0.9876543209876543,0.3895280862349863
